Year,Date,Interest Rate,Unemployment Rate,Index Price
1990,12/31/1990,5,6,2000
1991,12/31/1991,5.2,6.2,2100
1992,12/31/1992,5.1,6.3,2200
1993,12/31/1993,5.3,6.1,2300
1994,12/31/1994,5.2,6,2400
1995,12/31/1995,5.5,5.8,2500
1996,12/31/1996,5.7,5.7,2600
1997,12/31/1997,5.8,5.6,2700
1998,12/31/1998,5.4,5.9,2800
1999,12/31/1999,5.1,6.1,2900
2000,12/31/2000,5,6.2,3000
2001,12/31/2001,4.9,6.3,3100
2002,12/31/2002,4.8,6.4,3200
2003,12/31/2003,4.6,6.3,3300
2004,12/31/2004,4.5,6.2,3400
2005,12/31/2005,4.7,6,3500
2006,12/31/2006,4.8,5.9,3600
2007,12/31/2007,4.6,5.8,3700
2008,12/31/2008,4.4,5.7,3800
2009,12/31/2009,4.3,5.6,3900
2010,12/31/2010,4.5,5.8,4000
2011,12/31/2011,4.7,5.9,4100
2012,12/31/2012,4.6,5.7,4200
2013,12/31/2013,4.4,5.6,4300
2014,12/31/2014,4.3,5.5,4400
2015,12/31/2015,4.2,5.4,4500
2016,12/31/2016,4.1,5.3,4600
2017,12/31/2017,4,5.2,4700
2018,12/31/2018,3.9,5.1,4800
2019,12/31/2019,3.8,5,4900
